Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,CA
102,22,21.1,8.7,6,75,0.101325,1250,15.0,1.0,1.25,0.524
34,22,20.1,8.4,6,30,0.1,2050,20.0,1.0,2.05,9.51
71,22,21.1,1.7,8,30,0.101325,1825,20.0,2.0,1.65,11.65
103,22,21.1,8.7,6,50,0.101325,3125,5.0,0.4,1.25,2.43
199,40,27.6,8.4,6,25,0.1,500,5.0,0.5,0.25,58.0
247,72,21.1,9.1,3,30,0.4,2000,30.0,0.25,0.5,24.0
141,22,25.5,8.4,6,25,0.1,250,30.0,5.0,1.25,0.3
153,22,21.1,2.8,9,25,0.2,2500,30.0,20.0,50.0,1.0
22,22,20.1,8.4,6,50,0.1,1250,20.0,1.0,1.25,8.87
158,22,19.0,8.4,6,50,0.9,2500,30.0,0.5,1.25,21.4
45,22,20.1,8.4,6,40,0.5,1450,20.0,3.0,4.35,22.5
110,22,21.2,8.4,6,30,0.101325,2000,2.0,5.0,10.0,4.35
129,22,20.5,8.4,6,50,0.1,250,1.0,5.0,1.25,5.0
58,22,21.1,2.8,9,30,0.101325,625,20.0,2.0,1.25,4.8
117,22,19.0,7.1,4,30,0.3,250,60.0,1.1,0.28,6.33
